i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:0,0,0;rot:0,180,0;m:cuboid;scl:5,1,20;t:stone6;til:99999,99999;;
i:cuboid_1;pos:125,0,125;rot:0,180,0;m:cuboid;scl:20,1,5;t:stone6;til:99999,99999;;
i:cuboid_2;pos:0,0,125;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_3;pos:150,0,125;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_4;pos:175,0,250;rot:0,180,0;m:cuboid;scl:10,1,20;t:stone6;til:99999,99999;;
i:cuboid_5;pos:225,0,350;rot:0,180,0;m:cuboid;scl:20,1,5;t:stone6;til:99999,99999;;
i:cuboid_6;pos:350,0,350;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_7;pos:350,0,225;rot:0,180,0;m:cuboid;scl:5,1,20;t:stone6;til:99999,99999;;
i:cuboid_8;pos:350,27.5,95;rot:326.6015,180,0;m:cuboid;scl:5,1,10;t:stone6;til:99999,99999;;
i:cuboid_9;pos:350,54.2,-45;rot:0,180,0;m:cuboid;scl:5,1,20.2;t:stone6;til:99999,99999;;
i:cuboid_10;pos:350,54.2,-170;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_11;pos:75,54.2,-170;rot:0,180,0;m:cuboid;scl:50,1,5;t:stone6;til:99999,99999;;
i:cuboid_12;pos:-200,54.2,-170;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_13;pos:-200,27.5,-234;rot:33.39848,180,0;m:cuboid;scl:5,1,10;t:stone6;til:99999,99999;;
i:cuboid_14;pos:-200,0,-320;rot:0,180,0;m:cuboid;scl:5,1,10;t:stone6;til:99999,99999;;
i:cuboid_15;pos:-200,0,-390;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_16;pos:-325,0,-390;rot:0,180,0;m:cuboid;scl:20,1,5;t:stone6;til:99999,99999;;
i:cuboid_17;pos:-450,0,-390;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_18;pos:-450,0,-115;rot:0,180,0;m:cuboid;scl:5,1,50;t:stone6;til:99999,99999;;
i:cuboid_19;pos:-450,0,160;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_20;pos:-400,0,160;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_21;pos:-400,0,210;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_22;pos:-350,0,210;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_23;pos:-350,0,260;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_24;pos:-300,0,260;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_25;pos:-300,0,310;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_26;pos:-250,0,310;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_27;pos:-250,0,360;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_28;pos:-200,0,360;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_29;pos:-200,0,410;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_30;pos:-200,0,410;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_31;pos:-150,0,410;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_32;pos:-150,0,460;rot:0,180,0;m:cuboid;scl:5,1,5;t:stone6;til:99999,99999;;
i:cuboid_33;pos:125,0,460;rot:0,180,0;m:cuboid;scl:50,1,5;t:stone6;til:99999,99999;;
i:cuboid_34;pos:450,0,460;rot:0,180,0;m:cuboid;scl:15,1,10;t:stone6;til:99999,99999;;
i:cuboid_35;pos:25,30,0;rot:0,180,0;m:cuboid;scl:0.5,10,20;t:stone6;til:99999,99999;;
i:cuboid_36;pos:-25,30,0;rot:0,180,0;m:cuboid;scl:0.5,10,20;t:stone6;til:99999,99999;;
i:cuboid_37;pos:100,30,150;rot:0,180,0;m:cuboid;scl:15,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_38;pos:125,30,100;rot:0,180,0;m:cuboid;scl:20,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_39;pos:-25,30,125;rot:0,180,0;m:cuboid;scl:0.5,10,5;t:stone6;til:99999,99999;;
i:cuboid_40;pos:0,30,150;rot:0,180,0;m:cuboid;scl:5,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_41;pos:0,30,-100;rot:0,180,0;m:cuboid;scl:5,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_42;pos:225,30,125;rot:0,180,0;m:cuboid;scl:0.5,10,5;t:stone6;til:99999,99999;;
i:cuboid_43;pos:225,30,238.75;rot:0,180,0;m:cuboid;scl:0.5,10,17.75;t:stone6;til:99999,99999;;
i:cuboid_44;pos:125,30,238.75;rot:0,180,0;m:cuboid;scl:0.5,10,17.75;t:stone6;til:99999,99999;;
i:cuboid_45;pos:125,30,350;rot:0,180,0;m:cuboid;scl:0.5,10,5;t:stone6;til:99999,99999;;
i:cuboid_46;pos:275,30,325;rot:0,180,0;m:cuboid;scl:10,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_47;pos:225,30,375;rot:0,180,0;m:cuboid;scl:20,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_48;pos:350,30,375;rot:0,180,0;m:cuboid;scl:5,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_49;pos:375,30,350;rot:0,180,0;m:cuboid;scl:0.5,10,5;t:stone6;til:99999,99999;;
i:cuboid_50;pos:325,30,225;rot:0,180,0;m:cuboid;scl:0.5,10,20;t:stone6;til:99999,99999;;
i:cuboid_51;pos:375,30,225;rot:0,180,0;m:cuboid;scl:0.5,10,20;t:stone6;til:99999,99999;;
i:cuboid_52;pos:325,57.5,95;rot:326.6015,180,0;m:cuboid;scl:0.5,10,15;t:stone6;til:99999,99999;;
i:cuboid_53;pos:375,57.5,95;rot:326.6015,180,0;m:cuboid;scl:0.5,10,15;t:stone6;til:99999,99999;;
i:cuboid_54;pos:325,84.2,-45;rot:0,180,0;m:cuboid;scl:0.5,10,20.2;t:stone6;til:99999,99999;;
i:cuboid_55;pos:375,84.2,-45;rot:0,180,0;m:cuboid;scl:0.5,10,20.2;t:stone6;til:99999,99999;;
i:cuboid_56;pos:375,84.2,-170;rot:0,180,0;m:cuboid;scl:0.5,10,5;t:stone6;til:99999,99999;;
i:cuboid_57;pos:350,84.2,-195;rot:0,180,0;m:cuboid;scl:5,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_58;pos:75,84.2,-145;rot:0,180,0;m:cuboid;scl:50,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_59;pos:75,84.2,-195;rot:0,180,0;m:cuboid;scl:50,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_60;pos:-225,84.2,-170;rot:0,180,0;m:cuboid;scl:0.5,10,5;t:stone6;til:99999,99999;;
i:cuboid_61;pos:-200,84.2,-145;rot:0,180,0;m:cuboid;scl:5,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_62;pos:-175,57.5,-234;rot:33.39848,180,0;m:cuboid;scl:0.5,10,15;t:stone6;til:99999,99999;;
i:cuboid_63;pos:-225,57.5,-234;rot:33.39848,180,0;m:cuboid;scl:0.5,10,15;t:stone6;til:99999,99999;;
i:cuboid_64;pos:-175,30,-320;rot:0,180,0;m:cuboid;scl:0.5,10,9;t:stone6;til:99999,99999;;
i:cuboid_65;pos:-225,30,-320;rot:0,180,0;m:cuboid;scl:0.5,10,9;t:stone6;til:99999,99999;;
i:cuboid_66;pos:-175,30,-390;rot:0,180,0;m:cuboid;scl:0.5,10,5;t:stone6;til:99999,99999;;
i:cuboid_67;pos:-200,30,-415;rot:0,180,0;m:cuboid;scl:5,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_68;pos:-325,30,-365;rot:0,180,0;m:cuboid;scl:20,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_69;pos:-325,30,-415;rot:0,180,0;m:cuboid;scl:20,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_70;pos:-450,30,-415;rot:0,180,0;m:cuboid;scl:5,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_71;pos:-475,30,-390;rot:0,180,0;m:cuboid;scl:0.5,10,5;t:stone6;til:99999,99999;;
i:cuboid_72;pos:-475,30,-115;rot:0,180,0;m:cuboid;scl:0.5,10,50;t:stone6;til:99999,99999;;
i:cuboid_73;pos:-425,30,-115;rot:0,180,0;m:cuboid;scl:0.5,10,50;t:stone6;til:99999,99999;;
i:cuboid_74;pos:-450,30,185;rot:0,180,0;m:cuboid;scl:5,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_75;pos:-475,30,160;rot:0,180,0;m:cuboid;scl:0.5,10,5;t:stone6;til:99999,99999;;
i:cuboid_76;pos:-400,30,135;rot:0,180,0;m:cuboid;scl:5,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_77;pos:-375,30,160;rot:0,180,0;m:cuboid;scl:0.5,10,5;t:stone6;til:99999,99999;;
i:cuboid_78;pos:-400,30,235;rot:0,180,0;m:cuboid;scl:5,10,0.5;t:stone6;til:99999,99999;;
i:cuboid_79;pos:-425,30,210;rot:0,180,0;m:cuboid;scl:0.5,10,5;t:stone6;til:99999,99999;;
i:cuboid_80;pos:-350,30,285;rot:0,180,0;m:cuboid;scl:5,10,0.5;t:stone6;til:99999,99999;;
