i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:11490,55,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_1;pos:-875,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_2;pos:-875,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_3;pos:875,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_4;pos:-875,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_5;pos:-875,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_6;pos:-875,0,-16625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_7;pos:9625,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_8;pos:11375,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_9;pos:11375,0,875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_10;pos:13125,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_11;pos:14875,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_12;pos:9625,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_13;pos:11375,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_14;pos:13125,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_15;pos:14875,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_16;pos:7875,0,-4375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_17;pos:9625,0,-4375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_18;pos:13125,0,-4375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_19;pos:14815.89,0,-4366.951;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_20;pos:7875,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_21;pos:9625,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_22;pos:11375,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_23;pos:13125,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_24;pos:4375,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_25;pos:6125,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_26;pos:7875,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_27;pos:9625,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_28;pos:11375,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_29;pos:13125,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_30;pos:875,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_31;pos:2625,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_32;pos:4375,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_33;pos:6125,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_34;pos:7875,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_35;pos:9625,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_36;pos:11375,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_37;pos:2625,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_38;pos:4375,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_39;pos:7875,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_40;pos:9625,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_41;pos:875,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_42;pos:2625,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_43;pos:4375,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_44;pos:6125,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_45;pos:7875,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_46;pos:11374.48,0,-11374.62;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_47;pos:875,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_48;pos:2625,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_49;pos:4375,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_50;pos:6125,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_51;pos:875,0,-16625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_52;pos:780.3345,170,-14987.58;rot:0,353.6067,0;m:cuboid;scl:15,25,5;;
i:cuboid_53;pos:14990.09,170,-749.3392;rot:0,277.9301,0;m:cuboid;scl:15,25,5;;
i:cuboid_54;pos:780.3345,84.5,-14987.58;rot:0,353.6067,0;m:cuboid;scl:15,8,5.5;;
i:cuboid_55;pos:14958.17,170,-1119.46;rot:0,274.1599,0;m:cuboid;scl:60,25,5;;
i:cuboid_56;pos:14905.84,170,-1677.415;rot:0,276.7599,0;m:cuboid;scl:60,25,5;;
i:cuboid_57;pos:14832.91,170,-2232.675;rot:0,277.9999,0;m:cuboid;scl:60,25,5;;
i:cuboid_58;pos:14739.19,170,-2784.999;rot:0,281.48,0;m:cuboid;scl:60,25,5;;
i:cuboid_59;pos:14624.92,170,-3333.438;rot:0,282.0399,0;m:cuboid;scl:60,25,5;;
i:cuboid_60;pos:14490.24,170,-3877.228;rot:0,286.0399,0;m:cuboid;scl:60,25,5;;
i:cuboid_61;pos:14335.35,170,-4415.609;rot:0,286.04,0;m:cuboid;scl:60,25,5;;
i:cuboid_62;pos:14160.47,170,-4947.831;rot:0,290.5599,0;m:cuboid;scl:60,25,5;;
i:cuboid_63;pos:13965.84,170,-5473.152;rot:0,289.9999,0;m:cuboid;scl:60,25,5;;
i:cuboid_64;pos:13751.72,170,-5990.838;rot:0,295.04,0;m:cuboid;scl:60,25,5;;
i:cuboid_65;pos:13518.42,170,-6500.168;rot:0,294.08,0;m:cuboid;scl:60,25,5;;
i:cuboid_66;pos:13266.27,170,-7000.431;rot:0,299.32,0;m:cuboid;scl:60,25,5;;
i:cuboid_67;pos:12995.61,170,-7490.929;rot:0,298.2399,0;m:cuboid;scl:60,25,5;;
i:cuboid_68;pos:12706.83,170,-7970.979;rot:0,303.84,0;m:cuboid;scl:60,25,5;;
i:cuboid_69;pos:12400.32,170,-8439.91;rot:0,302.64,0;m:cuboid;scl:60,25,5;;
i:cuboid_70;pos:12076.51,170,-8897.068;rot:0,308.08,0;m:cuboid;scl:60,25,5;;
i:cuboid_71;pos:11735.86,170,-9341.816;rot:0,306.88,0;m:cuboid;scl:60,25,5;;
i:cuboid_72;pos:11378.84,170,-9773.534;rot:0,312.2,0;m:cuboid;scl:60,25,5;;
i:cuboid_73;pos:11005.95,170,-10191.62;rot:0,310.96,0;m:cuboid;scl:60,25,5;;
i:cuboid_74;pos:10617.7,170,-10595.49;rot:0,316.8,0;m:cuboid;scl:60,25,5;;
i:cuboid_75;pos:10214.65,170,-10984.58;rot:0,315,0;m:cuboid;scl:60,25,5;;
i:cuboid_76;pos:9800.38,170,-11361.64;rot:0,320.52,0;m:cuboid;scl:60,25,5;;
i:cuboid_77;pos:9369.071,170,-11719.2;rot:0,320.04,0;m:cuboid;scl:60,25,5;;
i:cuboid_78;pos:8928.906,170,-12066.81;rot:0,323.6799,0;m:cuboid;scl:60,25,5;;
i:cuboid_79;pos:8472.604,170,-12392.44;rot:0,324.88,0;m:cuboid;scl:60,25,5;;
i:cuboid_80;pos:8004.297,170,-12699.02;rot:0,328.5999,0;m:cuboid;scl:60,25,5;;
i:cuboid_81;pos:7523.38,170,-12990.77;rot:0,329.2,0;m:cuboid;scl:60,25,5;;
i:cuboid_82;pos:7030.374,170,-13256.1;rot:0,334,0;m:cuboid;scl:60,25,5;;
i:cuboid_83;pos:6528.737,170,-13505.31;rot:0,333.2,0;m:cuboid;scl:60,25,5;;
i:cuboid_84;pos:6019.626,170,-13739.14;rot:0,337.36,0;m:cuboid;scl:60,25,5;;
i:cuboid_85;pos:5504.196,170,-13957.94;rot:0,337.0001,0;m:cuboid;scl:60,25,5;;
i:cuboid_86;pos:4981.922,170,-14154.11;rot:0,342.04,0;m:cuboid;scl:60,25,5;;
i:cuboid_87;pos:4445.624,170,-14326.08;rot:0,342.32,0;m:cuboid;scl:60,25,5;;
i:cuboid_88;pos:3907.568,170,-14482.09;rot:0,345.32,0;m:cuboid;scl:60,25,5;;
i:cuboid_89;pos:3364.062,170,-14617.9;rot:0,346.76,0;m:cuboid;scl:60,25,5;;
i:cuboid_90;pos:2815.863,170,-14733.33;rot:0,349.48,0;m:cuboid;scl:60,25,5;;
i:cuboid_91;pos:2263.736,170,-14828.2;rot:0,351,0;m:cuboid;scl:60,25,5;;
i:cuboid_92;pos:1708.452,170,-14902.39;rot:0,353.64,0;m:cuboid;scl:60,25,5;;
i:cuboid_93;pos:1150.785,170,-14955.79;rot:0,355.48,0;m:cuboid;scl:60,25,5;;
i:cuboid_94;pos:1708.452,84.5,-14902.39;rot:0,353.64,0;m:cuboid;scl:60,8,5.5;;
i:cuboid_95;pos:1150.785,84.5,-14955.79;rot:0,355.48,0;m:cuboid;scl:60,8,5.5;;
i:cuboid_96;pos:14974.26,170,-911.2114;rot:0,274.1599,0;m:cuboid;scl:2,27,7;;
i:cuboid_97;pos:14905.84,170,-1677.415;rot:0,276.7599,0;m:cuboid;scl:2,27,7;;
i:cuboid_98;pos:14871.25,170,-1959.238;rot:0,278.9999,0;m:cuboid;scl:2,27,7;;
i:cuboid_99;pos:14794.67,170,-2505.78;rot:0,279.08,0;m:cuboid;scl:2,27,7;;
i:cuboid_100;pos:14624.92,170,-3333.438;rot:0,282.0399,0;m:cuboid;scl:2,27,7;;
i:cuboid_101;pos:14568.06,170,-3605.893;rot:0,282.64,0;m:cuboid;scl:2,27,7;;
i:cuboid_102;pos:14335.35,170,-4415.609;rot:0,286.04,0;m:cuboid;scl:2,27,7;;
i:cuboid_103;pos:14258.09,170,-4684.296;rot:0,288.7599,0;m:cuboid;scl:2,27,7;;
i:cuboid_104;pos:14062.72,170,-5208.114;rot:0,290.3999,0;m:cuboid;scl:2,27,7;;
i:cuboid_105;pos:13751.72,170,-5990.838;rot:0,295.04,0;m:cuboid;scl:2,27,7;;
i:cuboid_106;pos:13518.42,170,-6500.168;rot:0,294.08,0;m:cuboid;scl:2,27,7;;
