i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:-440,56,-440;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:2, t:1;;
i:spawnhuman_1;pos:-440,56,-440;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawntitan_3;pos:-99999,-99999,-99999;rot:0,180,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_4;pos:0,20,0;rot:0,180,0;m:cuboid;scl:100,5,100;t:rock3;til:5,5;;
i:cuboid_5;pos:0,90,490;rot:0,180,0;m:cuboid;scl:100,10,2;t:rock3;til:5,5;;
i:cuboid_6;pos:0,90,-490;rot:0,180,0;m:cuboid;scl:100,10,2;t:rock3;til:5,5;;
i:cuboid_7;pos:490,90,0;rot:0,180,0;m:cuboid;scl:2,10,100;t:rock3;til:5,5;;
i:cuboid_8;pos:-490,90,0;rot:0,180,0;m:cuboid;scl:2,10,100;t:rock3;til:5,5;;
i:cuboid_9;pos:0,145,0;rot:0,180,0;m:cuboid;scl:100,1,100;t:rock3;til:5,5;;
i:cuboid_10;pos:-390,90,-75;rot:0,180,0;m:cuboid;scl:2,10,85;t:rock3;til:5,5;;
i:cuboid_11;pos:-290,90,75;rot:0,180,0;m:cuboid;scl:2,10,85;t:rock3;til:5,5;;
i:cuboid_12;pos:-190,90,-75;rot:0,180,0;m:cuboid;scl:2,10,85;t:rock3;til:5,5;;
i:cuboid_13;pos:-90,90,75;rot:0,180,0;m:cuboid;scl:2,10,85;t:rock3;til:5,5;;
i:cuboid_14;pos:10,90,-75;rot:0,180,0;m:cuboid;scl:2,10,85;t:rock3;til:5,5;;
i:cuboid_15;pos:110,90,75;rot:0,180,0;m:cuboid;scl:2,10,85;t:rock3;til:5,5;;
i:cuboid_16;pos:210,90,-75;rot:0,180,0;m:cuboid;scl:2,10,85;t:rock3;til:5,5;;
i:cuboid_17;pos:310,90,75;rot:0,180,0;m:cuboid;scl:2,10,85;t:rock3;til:5,5;;
i:cuboid_18;pos:410,90,-75;rot:0,180,0;m:cuboid;scl:2,10,85;t:rock3;til:5,5;;
i:cuboid_19;pos:-440,50,-440;rot:0,180,0;m:cuboid;scl:8,1,8;t:rock3;til:5,5;;
i:cuboid_20;pos:440,42.5,-440;rot:0,180,0;m:cuboid;scl:8,1,8;t:rock3;til:5,5;;
i:cuboid_21;pos:-390,65,415;rot:0,180,0;m:cuboid;scl:2,4,13;t:rock3;til:5,5;;
i:cuboid_22;pos:-390,117.5,415;rot:0,180,0;m:cuboid;scl:2,4.5,13;t:rock3;til:5,5;;
i:cuboid_23;pos:-390,90,380;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_24;pos:-390,90,450;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_25;pos:-290,65,-415;rot:0,180,0;m:cuboid;scl:2,4,13;t:rock3;til:5,5;;
i:cuboid_26;pos:-290,117.5,-415;rot:0,180,0;m:cuboid;scl:2,4.5,13;t:rock3;til:5,5;;
i:cuboid_27;pos:-290,90,-380;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_28;pos:-290,90,-450;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_29;pos:-190,65,415;rot:0,180,0;m:cuboid;scl:2,4,13;t:rock3;til:5,5;;
i:cuboid_30;pos:-190,117.5,415;rot:0,180,0;m:cuboid;scl:2,4.5,13;t:rock3;til:5,5;;
i:cuboid_31;pos:-190,90,380;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_32;pos:-190,90,450;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_33;pos:-90,65,-415;rot:0,180,0;m:cuboid;scl:2,4,13;t:rock3;til:5,5;;
i:cuboid_34;pos:-90,117.5,-415;rot:0,180,0;m:cuboid;scl:2,4.5,13;t:rock3;til:5,5;;
i:cuboid_35;pos:-90,90,-380;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_36;pos:-90,90,-450;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_37;pos:10,65,415;rot:0,180,0;m:cuboid;scl:2,4,13;t:rock3;til:5,5;;
i:cuboid_38;pos:10,117.5,415;rot:0,180,0;m:cuboid;scl:2,4.5,13;t:rock3;til:5,5;;
i:cuboid_39;pos:10,90,380;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_40;pos:10,90,450;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
