i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_2;pos:93.92388,2275.067,-48652.93;rot:0,-0.002979381,0;m:cuboid;scl:20000,10000,10;;
i:cuboid_3;pos:-13964.88,2362.414,-531.688;rot:0,88.94998,0;m:cuboid;scl:20000,10000,10;;
i:cuboid_4;pos:9694.482,42050.11,5063.59;rot:0,3.174615,0;m:cuboid;scl:20000,10,20000;;
i:cuboid_5;pos:8536.699,2332.699,48652.93;rot:0,180.7429,0;m:cuboid;scl:20000,10000,10;;
i:cuboid_6;pos:98656.41,2339.034,12205.49;rot:0,88.7573,0;m:cuboid;scl:20000,10000,10;;
i:cuboid_7;pos:-230.9507,9419.2,-7475;rot:0,270,0;m:cuboid;scl:4,1,4;;
i:spawnhuman_8;pos:-230.9507,9429.2,-7475;rot:0,270,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_9;pos:-230.9507,9429.2,-7475;rot:0,270,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:cuboid_10;pos:-465.9507,9429.2,-7433.75;rot:0,100.8877,0;m:cuboid;scl:5.75,10,2;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:prism_11;pos:-731.3509,9430.896,-7503.828;rot:0,90,0;m:prism;scl:10,10,30.02236;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_12;pos:-391.3509,9430.896,-7503.828;rot:0,270.0012,0;m:prism;scl:10,10,30.02236;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_13;pos:-561.3509,9430.896,-7333.828;rot:0,180,0;m:prism;scl:10,10,30.02236;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_14;pos:-561.3509,9430.896,-7673.828;m:prism;scl:10,10,30.02236;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_15;pos:-630.9507,9429.2,-7280;rot:0,100.8877,0;m:cuboid;scl:26,10,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_16;pos:-480.9507,9429.2,-7280;rot:0,79.1123,0;m:cuboid;scl:26,10,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_17;pos:-630.9507,9429.2,-7720;rot:0,79.1123,0;m:cuboid;scl:26,10,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_18;pos:-480.9507,9429.2,-7720;rot:0,100.8877,0;m:cuboid;scl:26,10,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_19;pos:-775.9507,9429.2,-7425;rot:0,79.1123,0;m:cuboid;scl:1,10,26;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_20;pos:-775.9507,9429.2,-7575;rot:0,100.8877,0;m:cuboid;scl:1,10,26;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_21;pos:-335.9507,9429.2,-7425;rot:0,100.8877,0;m:cuboid;scl:1,10,26;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_22;pos:-335.9507,9429.2,-7575;rot:0,79.1123,0;m:cuboid;scl:1,10,26;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:arc180_23;pos:-555.7522,9427.409,-7103.267;rot:0,90,0;m:arc180;scl:10,20,5.65;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
