i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:cone_0;pos:-8.319883,73.23983,-8.856923;rot:341.7991,291.1711,195.2524;m:cone;scl:0.02,0.03,0.01;t:stone9;clr:255,199,107,255;;
i:cone_1;pos:-8.896201,73.75849,-8.35709;rot:283.3745,51.99987,62.56206;m:cone;scl:0.04,0.003,0.005;t:stone9;clr:255,37,0,255;;
i:cone_2;pos:-8.509884,74.26585,-8.990586;rot:14.00003,180.7367,2.199777E-07;m:cone;scl:0.02,0.02,0.03;t:stone9;clr:255,37,0,255;;
i:cone_3;pos:-8.518192,74.38587,-9.636604;rot:35.40001,180.7367,4.909739E-08;m:cone;scl:0.025,0.025,0.035;t:stone9;clr:255,37,0,255;;
i:cone_4;pos:-8.502989,74.02586,-8.453738;rot:10.2,180.7367,1.355443E-08;m:cone;scl:0.015,0.015,0.025;t:stone9;clr:255,37,0,255;;
i:cone_5;pos:-8.497485,73.78585,-8.026095;rot:11.40001,180.7367,4.763044E-08;m:cone;scl:0.01,0.01,0.02;t:stone9;clr:255,37,0,255;;
i:cone_6;pos:-8.50167,73.53237,-7.56438;rot:276.4,181.2467,-8.616742E-06;m:cone;scl:0.005,0.002,0.009;t:bark2;clr:55,55,66,255;;
i:cone_7;pos:-8.589589,73.57238,-7.623833;rot:304.1285,220.6928,282.4832;m:cone;scl:0.005,0.002,0.009;t:bark2;clr:55,55,66,255;;
i:cone_8;pos:-8.383427,73.57234,-7.646953;rot:311.7274,140.5841,79.43054;m:cone;scl:0.005,0.002,0.009;t:bark2;clr:55,55,66,255;;
i:cone_9;pos:-8.49474,73.6847,-7.634185;rot:310.2,179.2444,-4.133571E-08;m:cone;scl:0.009,0.003,0.009;t:bark2;clr:55,55,66,255;;
i:cone_10;pos:-8.854253,73.99853,-8.388166;rot:314.0071,84.70177,33.40154;m:cone;scl:0.04,0.003,0.005;t:stone9;clr:255,37,0,255;;
