i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:tower2_2;pos:968.4877,-15.63568,-905.8674;m:tower2;;
i:cuboid_4;pos:968.4877,41.36432,-883.1174;m:cuboid;scl:1.53,9.4,1.53;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_5;pos:968.4877,89.46432,-883.1174;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_6;pos:968.4877,103.2293,-883.1174;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_7;pos:968.4877,116.6543,-883.1174;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_8;pos:962.8177,103.0643,-888.7924;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_9;pos:974.1577,103.0643,-888.7924;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_10;pos:962.8177,103.0643,-877.4384;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_11;pos:974.1577,103.0643,-877.4384;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_12;pos:968.4877,90.42432,-883.1174;m:cuboid;scl:1.511,0.1,1.511;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_13;pos:968.4877,103.1843,-883.1174;m:cuboid;scl:1.516,0.303,1.516;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_14;pos:968.4877,115.7043,-883.1174;m:cuboid;scl:1.516,0.1,1.516;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:pyramid_15;pos:968.4877,129.9343,-883.1174;m:pyramid;scl:0.37,0.272,0.37;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_16;pos:968.4877,137.8643,-883.1174;m:cuboid;scl:0.0715,1.222,0.0715;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_18;pos:961.898,120.2255,-888.5209;rot:65.77731,269.9999,179.9999;m:prism;scl:0.4274937,0.003,0.600165;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_19;pos:963.0752,122.8421,-887.42;rot:4.471269E-05,1.526709E-05,245.7773;m:prism;scl:1.040509,0.003,0.2462379;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_20;pos:962.9989,122.6724,-883.8878;rot:-4.471269E-05,180,114.2227;m:prism;scl:1.040509,0.003,0.6292721;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_21;pos:961.898,120.2254,-880.8794;rot:65.77731,269.9999,179.9999;m:prism;scl:1.090924,0.003,0.600165;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_22;pos:964.7943,126.6631,-883.9223;rot:41.29479,203.2765,123.0986;m:prism;scl:0.4810883,0.003,0.26436;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_23;pos:964.8186,126.7172,-882.1533;rot:39.00649,338.6293,238.1306;m:prism;scl:0.458882,0.003,0.2771809;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_24;pos:963.8008,124.4549,-879.6711;rot:320.9935,158.6293,121.8694;m:prism;scl:0.458882,0.003,0.592406;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_25;pos:962.6479,121.8924,-878.4373;rot:41.29479,203.2765,123.0986;m:prism;scl:1.027071,0.003,0.26436;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_26;pos:973.8976,120.2255,-889.6975;rot:65.77729,180.0001,180;m:prism;scl:0.4274945,0.003,0.6001648;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_27;pos:972.7967,122.8421,-888.5203;rot:-8.537737E-06,270,245.7773;m:prism;scl:1.040509,0.003,0.2462383;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:prism_28;pos:969.2645,122.6724,-888.5967;rot:8.537737E-06,90.00003,114.2227;m:prism;scl:1.040509,0.003,0.6292723;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
