i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:-0.640758,21.16638,9.950245;rot:0,359.5382,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_3;pos:45,35,15;m:cuboid;scl:1,7,10;clr:0,0,0,255;;
i:cuboid_4;pos:-45,35,15;m:cuboid;scl:1,7,10;clr:0,0,0,255;;
i:cuboid_5;pos:0,35,-30;m:cuboid;scl:10,7,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_6;pos:45,35,105;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_7;pos:-45,35,105;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_8;pos:-45,35,195;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_9;pos:45,35,195;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_10;pos:45,35,285;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_11;pos:-45,35,285;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_12;pos:45,35,375;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_13;pos:-45,35,375;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_14;pos:45,35,465;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_15;pos:-45,35,465;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_16;pos:-45,35,555;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_17;pos:45,35,555;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_18;pos:-45,35,645;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_19;pos:45,35,645;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_20;pos:45,35,735;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_21;pos:-45,35,735;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_22;pos:45,35,825;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_23;pos:-45,35,825;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_24;pos:-45,35,915;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_25;pos:45,35,915;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_26;pos:45,35,1005;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_27;pos:-45,35,1005;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_28;pos:-45,35,1095;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_29;pos:-45,35,1185;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_30;pos:0,35,1230;m:cuboid;scl:10,7,1;clr:255,0,100,255;;
i:cuboid_31;pos:90,35,1230;m:cuboid;scl:10,7,1;clr:255,0,100,255;;
i:cuboid_32;pos:90,35,1140;m:cuboid;scl:10,7,1;clr:255,0,100,255;;
i:cuboid_33;pos:45,35,1125;m:cuboid;scl:1,7,4;clr:255,0,100,255;;
i:cuboid_34;pos:45,35,1080;m:cuboid;scl:1,7,7;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_35;pos:225,35,1185;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_36;pos:225,35,1095;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_37;pos:135,35,1095;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_38;pos:135,35,1005;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_39;pos:225,35,1005;m:cuboid;scl:1,7,10;clr:255,0,100,255;;
i:cuboid_40;pos:90,35,1095;m:cuboid;scl:1,7,1;clr:255,0,100,255;;
i:cuboid_41;pos:180,35,1230;m:cuboid;scl:10,7,1;clr:255,0,100,255;;
