i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:cuboid_1;pos:-10.71047,25.155,61.39904;rot:0,179.166,0;m:cuboid;scl:8,10,8;t:stone4;til:3,3;;
i:cuboid_2;pos:122.4017,371.8853,64.9106;rot:311.0219,269.2774,359.8058;m:cuboid;scl:8,10,8;t:stone4;til:3,3;;
i:cuboid_3;pos:-4.507847,141.1957,61.76712;rot:0.820538,359.3298,352.7704;m:cuboid;scl:8,10,8;t:stone4;til:3,3;;
i:cuboid_4;pos:18.47227,226.1438,62.64839;rot:359.6414,179.5921,22.93735;m:cuboid;scl:8,10,8;t:stone4;til:3,3;;
i:cuboid_5;pos:62.58873,305.7183,63.68766;rot:0.1199998,359.5227,325.0298;m:cuboid;scl:8,10,8;t:stone4;til:3,3;;
i:cuboid_6;pos:196.0484,422.9621,67.28014;rot:0.8330578,358.3159,298.779;m:cuboid;scl:8,10,8;t:stone4;til:3,3;;
i:cuboid_7;pos:278.8449,456.3216,70.18633;rot:0.626334,358.3024,284.968;m:cuboid;scl:8,10,8;t:stone4;til:3,3;;
i:cuboid_8;pos:366.0453,468.0153,73.7207;rot:359.2001,176.893,89.70993;m:cuboid;scl:8,10,8;t:stone4;til:3,3;;
i:cuboid_9;pos:-130.9298,-19.72269,57.25604;rot:359.4494,271.1172,343.519;m:cuboid;scl:20,10,8;t:stone4;til:3,3;;
i:cuboid_10;pos:-133.2868,57.8265,-116.8717;rot:-0.000811085,90.93504,30.34999;m:cuboid;scl:20,10,8;t:stone4;til:3,3;;
i:cuboid_11;pos:-135.873,169.4481,-269.0529;rot:8.537737E-06,91.43889,42.8399;m:cuboid;scl:20,10,8;t:stone4;til:3,3;;
i:cuboid_12;pos:-138.0686,306.4281,-391.0561;rot:1.366038E-05,271.1735,305.81;m:cuboid;scl:20,10,8;t:stone4;til:3,3;;
i:cuboid_13;pos:-139.6584,468.2475,-492.8733;rot:8.537737E-06,90.94717,61.02991;m:cuboid;scl:20,10,8;t:stone4;til:3,3;;
