i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_1;pos:410,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_2;pos:400,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_3;pos:390,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_4;pos:380,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_5;pos:370,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_6;pos:360,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_7;pos:350,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:cuboid_8;pos:380,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_9;pos:370,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_10;pos:360,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_11;pos:350,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_12;pos:390,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_13;pos:400,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_14;pos:410,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_15;pos:0,120,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_16;pos:0,120,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_17;pos:-3500,120,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_18;pos:5300,120,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_19;pos:0,200,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_20;pos:0,200,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_21;pos:-3500,200,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_22;pos:5300,200,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_23;pos:0,280,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_24;pos:0,280,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_25;pos:-3500,280,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_26;pos:5300,280,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_27;pos:0,360,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_28;pos:0,360,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_29;pos:-3500,360,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_30;pos:5300,360,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_31;pos:380,160,100;rot:0,180,0;m:cuboid;scl:8,8,4;mat:transparent;clr:0,0,255,175;l:0;c:start;;
i:cuboid_32;pos:380,400,100;rot:0,180,0;m:cuboid;scl:8,8,4;mat:transparent;clr:255,255,0,175;l:0;c:trigger;c:finish;;
i:cuboid_33;pos:300,160,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_34;pos:300,240,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_35;pos:300,320,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_36;pos:300,400,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_37;pos:300,440,-240;rot:0,180,0;m:cuboid;scl:8,0.4,24;t:metal2;til:2,6;clr:51,38,63,255;;
i:cuboid_38;pos:380,440,40;rot:0,180,0;m:cuboid;scl:8,0.4,88;t:grass1;til:2,22;clr:51,38,63,255;;
i:cuboid_39;pos:120,440,540;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_40;pos:0,440,420;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_41;pos:0,440,300;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_42;pos:0,440,180;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_43;pos:0,440,60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_44;pos:0,440,-60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_45;pos:-120,440,-180;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_46;pos:-680,440,-940;rot:0,180,0;m:cuboid;scl:8,0.4,80;t:grass1;til:2,20;clr:51,38,63,255;;
i:cuboid_47;pos:-160,440,-1460;rot:0,180,0;m:cuboid;scl:80,0.4,8;t:grass1;til:20,2;clr:51,38,63,255;;
i:cuboid_48;pos:1000,440,-860;rot:0,180,0;m:cuboid;scl:64,0.4,8;t:grass1;til:16,2;clr:51,38,63,255;;
i:cuboid_49;pos:1380,440,-640;rot:0,180,0;m:cuboid;scl:8,0.4,32;t:grass1;til:2,8;clr:51,38,63,255;;
i:cuboid_50;pos:900,440,-400;rot:0,180,0;m:cuboid;scl:80,0.4,8;t:grass1;til:20,2;clr:51,38,63,255;;
i:cuboid_51;pos:420,440,-400;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_52;pos:300,40,-240;rot:0,180,0;m:cuboid;scl:8,0.4,24;t:metal2;til:2,6;clr:51,38,63,255;;
i:cuboid_53;pos:380,40,40;rot:0,180,0;m:cuboid;scl:8,0.4,88;t:grass1;til:2,22;clr:51,38,63,255;;
i:cuboid_54;pos:120,40,540;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_55;pos:0,40,420;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_56;pos:0,40,300;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_57;pos:0,40,180;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_58;pos:0,40,60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_59;pos:0,40,-60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_60;pos:-120,40,-180;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_61;pos:-680,40,-940;rot:0,180,0;m:cuboid;scl:8,0.4,80;t:grass1;til:2,20;clr:51,38,63,255;;
i:cuboid_62;pos:-160,40,-1460;rot:0,180,0;m:cuboid;scl:80,0.4,8;t:grass1;til:20,2;clr:51,38,63,255;;
i:cuboid_63;pos:1000,40,-860;rot:0,180,0;m:cuboid;scl:64,0.4,8;t:grass1;til:16,2;clr:51,38,63,255;;
i:cuboid_64;pos:1380,40,-640;rot:0,180,0;m:cuboid;scl:8,0.4,32;t:grass1;til:2,8;clr:51,38,63,255;;
i:cuboid_65;pos:900,40,-400;rot:0,180,0;m:cuboid;scl:80,0.4,8;t:grass1;til:20,2;clr:51,38,63,255;;
i:cuboid_66;pos:420,40,-400;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_67;pos:300,120,-240;rot:0,180,0;m:cuboid;scl:8,0.4,24;t:metal2;til:2,6;clr:51,38,63,255;;
i:cuboid_68;pos:380,120,40;rot:0,180,0;m:cuboid;scl:8,0.4,88;t:grass1;til:2,22;clr:51,38,63,255;;
i:cuboid_69;pos:120,120,540;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_70;pos:0,120,420;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_71;pos:0,120,300;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_72;pos:0,120,180;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_73;pos:0,120,60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_74;pos:0,120,-60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
