i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:-500.4196,333.149,147.7807;rot:84.84091,72.49527,0.0008165466;m:cuboid;scl:4.41,46.06732,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_2;pos:-502.6758,307.6298,148.2273;rot:84.84091,72.49527,0.0008165466;m:cuboid;scl:4.41,46.06732,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_3;pos:-490.0127,328.6359,-57.54626;rot:85.32991,98.23704,0.0007549966;m:cuboid;scl:4.41,45.4014,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_4;pos:-492.2688,303.1167,-57.09969;rot:85.32991,98.23704,0.0007549966;m:cuboid;scl:4.41,45.4014,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_5;pos:-94.32422,309.1402,299.6541;rot:84.15695,165.4768,179.9999;m:cuboid;scl:4.41,41.95541,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_6;pos:-96.58035,283.621,300.1007;rot:84.15695,165.4768,179.9999;m:cuboid;scl:4.41,41.95541,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_7;pos:288.6059,294.2403,-287.2999;rot:88.74258,357.0982,-0.0002382695;m:cuboid;scl:4.41,41.52469,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_8;pos:286.3498,268.7211,-286.8534;rot:88.74258,357.0982,-0.0002382695;m:cuboid;scl:4.41,41.52469,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_9;pos:-230.0133,322.3936,371.4984;rot:77.06512,192.0095,180;m:cuboid;scl:4.41,26.5216,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_10;pos:-232.2694,296.8744,371.9449;rot:77.06512,192.0095,180;m:cuboid;scl:4.41,26.5216,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_11;pos:60.15931,347.2534,183.9692;rot:71.67742,358.6466,0.0001334165;m:cuboid;scl:4.41,16.61361,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_12;pos:57.90318,321.7342,184.4158;rot:71.67742,358.6466,0.0001334165;m:cuboid;scl:4.41,16.61361,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_13;pos:265.906,329.3904,202.6482;rot:69.93314,358.8174,-8.397988E-05;m:cuboid;scl:4.41,15.12109,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_14;pos:263.6498,303.8712,203.0948;rot:69.93314,358.8174,-8.397988E-05;m:cuboid;scl:4.41,15.12109,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_15;pos:159.9126,364.981,296.9561;rot:85.00696,266.9887,180.0001;m:cuboid;scl:4.41,14.96703,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_16;pos:157.6565,339.4618,297.4027;rot:85.00696,266.9887,180.0001;m:cuboid;scl:4.41,14.96703,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_17;pos:-228.4854,276.4544,-414.0985;rot:88.74258,357.0982,-0.0002382695;m:cuboid;scl:4.41,9.439002,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_18;pos:-230.7415,250.9352,-413.6519;rot:88.74258,357.0982,-0.0002382695;m:cuboid;scl:4.41,9.439002,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_19;pos:235.4433,294.786,-524.7037;rot:85.00696,266.9887,0.0001177126;m:cuboid;scl:4.41,7.31757,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_20;pos:233.1871,269.2668,-524.2572;rot:85.00696,266.9887,0.0001177126;m:cuboid;scl:4.41,7.31757,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_21;pos:-236.4201,343.015,-152.5779;rot:88.74258,357.0982,-0.0002382695;m:cuboid;scl:4.41,7.154478,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_22;pos:-238.6763,317.4958,-152.1313;rot:88.74258,357.0982,-0.0002382695;m:cuboid;scl:4.41,7.154478,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_23;pos:270.739,290.8302,46.65324;rot:53.52045,173.2847,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_24;pos:273.3444,289.7004,-4.750859;rot:51.01115,1.043896,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_25;pos:103.4389,296.5137,-473.7989;rot:57.09977,87.91209,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_26;pos:-17.70944,245.8537,-478.8257;rot:57.09977,87.91209,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_27;pos:-120.1421,254.8154,-484.2145;rot:57.09982,87.91221,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_28;pos:-68.92577,250.3345,-481.5201;rot:47.11506,265.9302,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_29;pos:-171.358,259.2962,-486.9089;rot:47.11506,265.9302,1.756404E-05;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_30;pos:275.9498,288.5705,-56.15499;rot:53.52045,173.2847,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_31;pos:268.1336,291.9601,98.05737;rot:51.01115,1.043896,-5.351612E-05;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_32;pos:273.6937,263.0513,-55.70843;rot:53.52045,173.2847,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_33;pos:268.4828,265.311,47.09981;rot:53.52045,173.2847,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_34;pos:271.0883,264.1812,-4.304295;rot:51.01115,1.043896,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_35;pos:265.8774,266.4409,98.50394;rot:51.01115,1.043896,-5.351612E-05;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_36;pos:-19.96558,220.3344,-478.3792;rot:57.09977,87.91209,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_37;pos:-122.3982,229.2961,-483.7679;rot:57.09977,87.91209,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_38;pos:-71.1819,224.8153,-481.0736;rot:47.11506,265.9302,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_39;pos:101.1828,270.9944,-473.3523;rot:57.09977,87.91209,180;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_40;pos:-173.6141,233.7769,-486.4623;rot:47.11506,265.9302,1.756404E-05;m:cuboid;scl:4.41,1.904972,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_41;pos:-42.05475,330.0877,90.6577;rot:88.74258,357.0982,179.9998;m:cuboid;scl:4.41,2.15794,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_42;pos:-725.7172,310.345,79.07028;rot:75.19801,87.4305,179.9997;m:cuboid;scl:4.41,2.15794,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_43;pos:-44.31089,304.5685,91.10426;rot:88.74258,357.0982,179.9998;m:cuboid;scl:4.41,2.15794,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_44;pos:-727.9733,284.8258,79.51685;rot:75.19801,87.4305,179.9997;m:cuboid;scl:4.41,2.15794,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_45;pos:-720.3996,308.0389,-25.84481;rot:75.19801,87.4305,-0.000327501;m:cuboid;scl:4.41,2.157932,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_46;pos:62.47702,320.9424,96.15687;rot:88.74258,357.0982,179.9998;m:cuboid;scl:4.41,2.157932,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_47;pos:60.22089,295.4232,96.60343;rot:88.74258,357.0982,179.9998;m:cuboid;scl:4.41,2.157932,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_48;pos:-722.6557,282.5197,-25.39824;rot:75.19801,87.4305,-0.000327501;m:cuboid;scl:4.41,2.157932,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_49;pos:-19.61792,318.3536,42.62589;rot:77.7414,304.2415,179.9999;m:cuboid;scl:4.41,1.920124,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_50;pos:-770.0738,288.7022,56.43769;rot:72.80103,31.62237,180.0001;m:cuboid;scl:4.41,1.920124,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_51;pos:-21.87405,292.8344,43.07245;rot:77.7414,304.2415,179.9999;m:cuboid;scl:4.41,1.920124,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_52;pos:-772.33,263.183,56.88425;rot:72.80103,31.62237,180.0001;m:cuboid;scl:4.41,1.920124,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_53;pos:-766.8643,287.3104,-6.884187;rot:74.87833,142.9854,-0.000144003;m:cuboid;scl:4.41,1.92012,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_54;pos:43.47261,312.8339,45.94495;rot:85.74329,50.60594,-0.0002990613;m:cuboid;scl:4.41,1.92012,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_55;pos:41.21648,287.3147,46.39151;rot:85.74329,50.60594,-0.0002990613;m:cuboid;scl:4.41,1.92012,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_56;pos:-769.1205,261.7912,-6.437624;rot:74.87827,142.9855,-5.891007E-05;m:cuboid;scl:4.41,1.92012,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_57;pos:-40.50176,328.2126,75.1221;rot:75.83842,350.4956,180.0003;m:cuboid;scl:4.41,1.920114,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_58;pos:-740.3986,304.9206,77.54893;rot:62.86835,79.31356,179.9999;m:cuboid;scl:4.41,1.920114,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_59;pos:-42.75789,302.6934,75.56866;rot:75.83842,350.4956,180.0003;m:cuboid;scl:4.41,1.920114,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_60;pos:-742.6547,279.4014,77.99549;rot:62.86835,79.31356,179.9999;m:cuboid;scl:4.41,1.920114,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_61;pos:-735.1715,302.6538,-25.57874;rot:63.23662,96.14796,4.550356E-05;m:cuboid;scl:4.41,1.920112,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_62;pos:62.24912,319.2231,80.52762;rot:77.17722,5.862077,-7.693847E-05;m:cuboid;scl:4.41,1.920112,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_63;pos:59.99298,293.7039,80.97418;rot:77.17722,5.862077,-7.693847E-05;m:cuboid;scl:4.41,1.920112,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_64;pos:-737.4277,277.1346,-25.13217;rot:63.23662,96.14796,4.550356E-05;m:cuboid;scl:4.41,1.920112,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_65;pos:31.96498,312.2586,38.72394;rot:89.44645,65.15888,0.001413825;m:cuboid;scl:4.41,1.920111,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_66;pos:-773.5026,284.4608,4.635917;rot:81.10269,156.9483,0.0001490441;m:cuboid;scl:4.41,1.920111,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_67;pos:29.70885,286.7394,39.1705;rot:89.44645,65.15888,0.001413825;m:cuboid;scl:4.41,1.920111,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_68;pos:-775.7587,258.9416,5.082481;rot:81.10269,156.9483,0.0001490441;m:cuboid;scl:4.41,1.920111,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_69;pos:-29.47667,321.4532,51.46313;rot:76.13236,319.554,180.0001;m:cuboid;scl:4.41,1.920108,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_70;pos:-762.0152,293.3083,66.37461;rot:67.91406,46.69089,180;m:cuboid;scl:4.41,1.920108,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_71;pos:52.74452,314.2598,55.78862;rot:82.31599,35.92147,0.000434199;m:cuboid;scl:4.41,1.920108,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_72;pos:-757.8326,291.4945,-16.14808;rot:69.55694,128.2473,-1.466645E-05;m:cuboid;scl:4.41,1.920108,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_73;pos:50.48838,288.7406,56.23519;rot:82.31599,35.92147,0.000434199;m:cuboid;scl:4.41,1.920108,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_74;pos:-31.73281,295.934,51.90969;rot:76.13236,319.5537,179.9999;m:cuboid;scl:4.41,1.920108,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_75;pos:-760.0887,265.9753,-15.70152;rot:69.55694,128.2473,-1.466645E-05;m:cuboid;scl:4.41,1.920108,0;mat:transparent;clr:178,178,255,200;;
i:cuboid_76;pos:-764.2714,267.7891,66.82117;rot:67.91406,46.69089,180;m:cuboid;scl:4.41,1.920108,0;mat:transparent;clr:178,178,255,200;;
