i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:tower1_0;pos:-17.7284,2808.497,-9.293605;rot:0,74.44827,0;m:tower1;scl:1,50,1;;
i:cuboid_1;pos:1288.475,6637.442,-419.4819;rot:0,83.42139,0;m:cuboid;scl:2500,10,2500;t:stone2;til:1500,1500;;
i:spawnhuman_2;pos:21.56385,6689.034,-97.27077;rot:0,17.08646,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_3;pos:-9.17502,6683.67,-55.4041;rot:0,13.13887,0;m:cuboid;scl:34,1,34;t:earth2;til:12,12;;
i:spawnhuman_4;pos:-62.10426,6691.696,-74.98649;rot:0,17.28596,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_5;pos:-51.77928,6708.986,78.79765;rot:0,104.1523,0;m:cuboid;scl:3,9,6;t:stone2;til:2,2;;
i:cuboid_6;pos:88.7583,6708.444,44.632;rot:0,104.1324,0;m:cuboid;scl:3,9,6;t:stone2;til:2,2;;
i:cylinder_7;pos:-16.85366,6714.186,70.08222;rot:0,12.23278,0;m:cylinder;scl:4,4,4;t:stone2;til:2,2;;
i:cylinder_8;pos:56.35008,6713.722,53.57065;rot:0,12.23278,0;m:cylinder;scl:4,4,4;t:stone2;til:2,2;;
i:cylinder_9;pos:-87.52925,6713.858,87.06474;rot:0,358.232,0;m:cylinder;scl:4,4,4;t:stone2;til:2,2;;
i:cylinder_10;pos:127.8226,6713.624,35.12355;rot:0,186.7319,0;m:cylinder;scl:4,4,4;t:stone2;til:2,2;;
i:cuboid_11;pos:14.4168,6733.543,64.55937;rot:0,102.9377,0;m:cuboid;scl:3,4,7;t:stone2;til:2,2;;
i:cuboid_12;pos:21.40354,6778.31,73.14828;rot:0,101.6256,0;m:cuboid;scl:2,6,30;t:stone2;til:5,2;;
i:tower5_13;pos:22.1036,6743.56,66.46792;rot:0,14.7252,0;m:tower5;scl:4,0.5,4;t:stone2;til:5,2;;
i:statue2_14;pos:-46.58815,6684.276,49.48747;rot:0,191.2837,0;m:statue2;scl:2,2,2;t:stone2;til:5,2;;
i:statue2_15;pos:78.42697,6685.335,25.75466;rot:0,194.5837,0;m:statue2;scl:2,2,2;t:stone2;til:5,2;;
i:cuboid_16;pos:25.5459,6693.616,57.66771;rot:0,103.5207,0;m:cuboid;scl:1,6,6;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:pillar1_17;pos:-54.49553,6753.728,74.20045;rot:0,17.61592,0;m:pillar1;scl:1,0.7,1;t:stone2;til:5,2;;
i:pillar1_18;pos:85.96142,6752.95,41.02596;rot:0,21.11477,0;m:pillar1;scl:1,0.7,1;t:stone2;til:5,2;;
i:boulder1_19;pos:-121.1492,6712.16,100.5443;rot:0,25.4081,0;m:boulder1;scl:4,4,4;t:stone2;til:5,2;;
i:boulder1_20;pos:166.7411,6712.957,22.03888;rot:0,326.6081,0;m:boulder1;scl:4,4,4;t:stone2;til:5,2;;
i:boulder1_21;pos:-126.0269,6781.203,106.0212;rot:297,17.70805,-1.880598E-06;m:boulder1;scl:4,4,4;t:stone2;til:5,2;;
i:boulder1_22;pos:166.1519,6773.301,53.50122;rot:284.4,301.4542,269.4;m:boulder1;scl:4,4,4;t:stone2;til:5,2;;
i:pillar1_23;pos:-65.97927,6803.916,102.512;rot:0,11.48995,0;m:pillar1;scl:2,2,2;t:stone2;til:5,2;;
