i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_3;pos:0,20,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:2, t:1;;
i:spawnhuman_4;pos:0,20,0;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawntitan_6;pos:99999,2,99999;rot:0,180,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_7;pos:0,5,0;rot:0,180,0;m:cuboid;scl:500,1.5,500;t:brick2;til:600,600;;
i:cuboid_8;pos:-1250,50,-860;rot:0,180,0;m:cuboid;scl:0.5,7.5,0.5;t:stone10;til:8,8;;
i:cuboid_9;pos:-45,50,45;rot:0,180,0;m:cuboid;scl:0.9,7.5,0.9;t:stone10;til:8,8;;
i:cuboid_10;pos:0,40,-520;rot:0,180,0;m:cuboid;scl:10,0.1,1;t:stone10;til:8,8;;
i:cuboid_11;pos:0,60,-520;rot:0,180,0;m:cuboid;scl:10,0.1,1;t:stone10;til:8,8;;
i:cuboid_12;pos:0,12,0;rot:0,180,0;m:cuboid;scl:10,1.5,10;t:stone10;til:8,8;;
i:cuboid_13;pos:-1350,40,-785;rot:0,180,0;m:cuboid;scl:1,0.1,6;t:stone10;til:8,8;;
i:cuboid_14;pos:-1350,60,-785;rot:0,180,0;m:cuboid;scl:1,0.1,6;t:stone10;til:8,8;;
i:cuboid_15;pos:0,50,-750;rot:0,180,0;m:cuboid;scl:10,7.5,1;t:stone10;til:8,8;;
i:cuboid_16;pos:-195,50,-600;rot:0,180,0;m:cuboid;scl:10,7.5,1;t:stone10;til:8,8;;
i:cuboid_17;pos:-95,50,-600;rot:0,180,0;m:cuboid;scl:10,7.5,1;t:stone10;til:8,8;;
i:cuboid_18;pos:-95,50,-650;rot:0,180,0;m:cuboid;scl:10,7.5,1;t:stone10;til:8,8;;
i:cuboid_19;pos:-110,50,-330;rot:0,90,0;m:cuboid;scl:10,7.5,2;t:stone10;til:8,8;;
i:cuboid_20;pos:-12,50,-400;m:cuboid;scl:10,7.5,2;t:stone10;til:8,8;;
i:cuboid_21;pos:-105,17.5,-840;rot:0,180,0;m:cuboid;scl:1,1,10;t:stone10;til:8,8;;
i:cuboid_22;pos:-105,50,-840;rot:0,180,0;m:cuboid;scl:1,1,10;t:stone10;til:8,8;;
i:cuboid_23;pos:-105,82.5,-840;rot:0,180,0;m:cuboid;scl:1,1,10;t:stone10;til:8,8;;
i:cuboid_24;pos:-110,50,-225;rot:0,90,0;m:cuboid;scl:12,7.5,2;t:stone10;til:8,8;;
i:cuboid_25;pos:-90,50,235;rot:0,90,0;m:cuboid;scl:12,7.5,2;t:stone10;til:8,8;;
i:cuboid_26;pos:-250,50,-645;rot:0,180,0;m:cuboid;scl:1,7.5,10;t:stone10;til:8,8;;
i:cuboid_27;pos:-250,50,-745;rot:0,180,0;m:cuboid;scl:1,7.5,10;t:stone10;til:8,8;;
i:cuboid_28;pos:50,50,-545;rot:0,180,0;m:cuboid;scl:1,7.5,10;t:stone10;til:8,8;;
i:cuboid_29;pos:-50,50,-545;rot:0,180,0;m:cuboid;scl:1,7.5,10;t:stone10;til:8,8;;
i:cuboid_30;pos:50,50,-645;rot:0,180,0;m:cuboid;scl:1,7.5,10;t:stone10;til:8,8;;
i:cuboid_31;pos:50,50,-745;rot:0,180,0;m:cuboid;scl:1,7.5,10;t:stone10;til:8,8;;
i:cuboid_32;pos:50,50,-845;rot:0,180,0;m:cuboid;scl:1,7.5,10;t:stone10;til:8,8;;
i:cuboid_33;pos:-105,50,-800;rot:0,180,0;m:cuboid;scl:1,7.5,1;t:stone10;til:8,8;;
i:cuboid_34;pos:-105,50,-820;rot:0,180,0;m:cuboid;scl:1,7.5,1;t:stone10;til:8,8;;
i:cuboid_35;pos:-105,50,-840;rot:0,180,0;m:cuboid;scl:1,7.5,1;t:stone10;til:8,8;;
i:cuboid_36;pos:-105,50,-860;rot:0,180,0;m:cuboid;scl:1,7.5,1;t:stone10;til:8,8;;
i:cuboid_37;pos:-105,50,-880;rot:0,180,0;m:cuboid;scl:1,7.5,1;t:stone10;til:8,8;;
i:cuboid_38;pos:-300,50,-790;rot:0,180,0;m:cuboid;scl:1,7.5,5;t:stone10;til:8,8;;
i:cuboid_39;pos:-350,50,-840;rot:0,180,0;m:cuboid;scl:1,7.5,5;t:stone10;til:8,8;;
i:cuboid_40;pos:-400,50,30;rot:0,180,0;m:cuboid;scl:19,7.5,2;t:stone10;til:8,8;;
i:cuboid_41;pos:-205,50,-840;rot:0,180,0;m:cuboid;scl:2,2,10;t:stone10;til:8,8;;
i:cuboid_42;pos:-205,50,-840;rot:0,180,0;m:cuboid;scl:2,7.5,2;t:stone10;til:8,8;;
i:cuboid_43;pos:-90,50,295.4423;rot:0,90,0;m:cuboid;scl:3,7.5,2.75;t:stone10;til:8,8;;
i:cuboid_44;pos:-93,50,390;rot:0,90,0;m:cuboid;scl:3,7.5,2.75;t:stone10;til:8,8;;
i:cuboid_45;pos:0,50,200;rot:0,180,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_46;pos:0,50,-200;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_47;pos:100,50,173.2051;rot:0,210,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_48;pos:-100,50,173.2051;rot:0,150,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_49;pos:-100,50,-173.2051;rot:0,30,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_50;pos:128.5575,50,-153.2089;rot:0,320,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_51;pos:153.2089,50,128.5575;rot:0,230,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_52;pos:-153.2089,50,128.5575;rot:0,130,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_53;pos:153.2089,50,-128.5575;rot:0,310,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_54;pos:-173.2051,50,100;rot:0,120,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_55;pos:187.9385,50,68.40403;rot:0,250,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_56;pos:187.9385,50,-68.40403;rot:0,290,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_57;pos:-196.9615,50,34.72964;rot:0,100,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_58;pos:196.9615,50,-34.72964;rot:0,280,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_59;pos:-196.9615,50,-34.72964;rot:0,80,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_60;pos:200,50,0;rot:0,270,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_61;pos:-200,50,0;rot:0,90,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_62;pos:-34.72964,50,196.9615;rot:0,170,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_63;pos:34.72964,50,-196.9615;rot:0,350,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_64;pos:68.40403,50,187.9385;rot:0,200,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_65;pos:68.40403,50,-187.9385;rot:0,340,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_66;pos:-68.40403,50,-187.9385;rot:0,20,0;m:cuboid;scl:3.8,7.5,2;t:stone10;til:8,8;;
i:cuboid_67;pos:102.606,50,-281.9078;rot:0,340,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_68;pos:150,50,259.8076;rot:0,210,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_69;pos:-150,50,259.8076;rot:0,150,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_70;pos:192.8363,50,229.8133;rot:0,220,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_71;pos:192.8363,50,-229.8133;rot:0,320,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_72;pos:-192.8363,50,-229.8133;rot:0,40,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_73;pos:-229.8133,50,192.8363;rot:0,130,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_74;pos:259.8076,50,-150;rot:0,300,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_75;pos:-259.8076,50,-150;rot:0,60,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_76;pos:-281.9078,50,102.606;rot:0,110,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_77;pos:281.9078,50,-102.606;rot:0,290,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_78;pos:-281.9078,50,-102.606;rot:0,70,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_79;pos:295.4423,50,52.09445;rot:0,260,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_80;pos:-295.4423,50,52.09445;rot:0,100,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_81;pos:-295.4423,50,-52.09445;rot:0,80,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_82;pos:-52.09445,50,-295.4423;rot:0,10,0;m:cuboid;scl:5.5,7.5,2;t:stone10;til:8,8;;
i:cuboid_83;pos:-1665,17.5,-525;rot:0,180,0;m:cuboid;scl:6,1,1;t:stone10;til:8,8;;
i:cuboid_84;pos:-1665,82.5,-525;rot:0,180,0;m:cuboid;scl:6,1,1;t:stone10;til:8,8;;
i:cuboid_85;pos:-1665,15,-490;rot:0,180,0;m:cuboid;scl:6,1,6;t:stone10;til:8,8;;
i:cuboid_86;pos:-800,50,-820;rot:0,180,0;m:cuboid;scl:65,0.5,0.5;t:stone10;til:8,8;;
i:cuboid_87;pos:136.8081,50,375.877;rot:0,200,0;m:cuboid;scl:7.2,7.5,2;t:stone10;til:8,8;;
i:cuboid_88;pos:-136.8081,50,375.877;rot:0,160,0;m:cuboid;scl:7.2,7.5,2;t:stone10;til:8,8;;
i:cuboid_89;pos:136.8081,50,-375.877;rot:0,340,0;m:cuboid;scl:7.2,7.5,2;t:stone10;til:8,8;;
i:cuboid_90;pos:-200,50,346.4102;rot:0,150,0;m:cuboid;scl:7.2,7.5,2;t:stone10;til:8,8;;
