i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:cuboid_0;pos:-5,-4.719997,0;m:cuboid;scl:135,1,140;t:bark3;til:5,5;clr:255,178,255,255;;
i:prism_1;pos:-48.8637,2.325789,317.2897;rot:337.0373,179.3836,90.59422;m:prism;scl:0.8,0.2,1.5;t:bark3;clr:255,170,255,255;;
i:prism_2;pos:-59.80695,2.725788,315.7818;rot:336.9973,179.3842,89.234;m:prism;scl:0.8,0.5,1.5;t:bark3;clr:255,170,255,255;;
i:cuboid_3;pos:-10.32717,34.97657,-34.47994;rot:0,0.187432,0;m:cuboid;scl:2,1,3;t:bark3;clr:255,185,255,255;;
i:cuboid_4;pos:-17.34017,35.04453,-14.60416;rot:0,359.2117,0;m:cuboid;scl:0.6,1,1;t:bark3;clr:255,185,255,255;;
i:cuboid_5;pos:-3.278555,34.99406,-14.54109;rot:0,359.6468,0;m:cuboid;scl:0.6,1,1;t:bark3;clr:255,185,255,255;;
i:cuboid_6;pos:-10.38256,35.10416,-8.725678;rot:0,180.4874,0;m:cuboid;scl:2,1,1;t:bark3;clr:255,185,255,255;;
i:cuboid_7;pos:-10.46093,34.81814,-18.48671;rot:0,177.7118,0;m:cuboid;scl:1,1,2;mat:transparent;clr:0,0,255,175;l:0;c:start;;
i:cuboid_8;pos:-10.34218,49.91963,-46.77244;rot:0,179.8403,0;m:cuboid;scl:2,2,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_9;pos:-10.48009,49.97076,-6.330007;rot:0,0.4958743,0;m:cuboid;scl:2,2,0.5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_10;pos:-0.9827713,49.96111,-25.93456;rot:0,270.093,0;m:cuboid;scl:4,2,0.1;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_11;pos:-19.71044,49.99355,-27.26247;rot:0,89.8512,0;m:cuboid;scl:4,2,0.1;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_12;pos:-9.484262,14.87003,-19.87741;rot:319.8813,179.4597,359.3654;m:cuboid;scl:1,4,0.1;t:bark3;clr:255,144,255,255;;
i:cuboid_13;pos:-10.15474,18.44962,-29.58613;rot:39.47897,359.9475,1.524603;m:cuboid;scl:1,3,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_14;pos:-4.990196,16.90622,-24.60627;rot:2.297706,270.2152,319.9613;m:cuboid;scl:1,4,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_15;pos:-14.96506,17.48526,-23.79726;rot:358.3198,91.70992,40.22082;m:cuboid;scl:1,4,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_16;pos:-4.153692,4.800938,-11.59411;rot:0,269.6094,0;m:cuboid;scl:4,1,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_17;pos:-14.47104,4.327741,-12.08104;rot:357.56,89.396,7.477298E-07;m:cuboid;scl:4,1,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_18;pos:5.093363,4.836393,-21.75515;rot:0,270.5812,0;m:cuboid;scl:6,1,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_19;pos:-24.23365,4.871976,-22.28208;rot:0,89.50972,0;m:cuboid;scl:6,1,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_20;pos:-9.572501,4.977982,-51.45449;rot:0,359.1655,0;m:cuboid;scl:3,1,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_21;pos:-9.31752,0.07428438,-17.05396;rot:0,180.2659,0;m:cuboid;scl:3,0.1,7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_22;pos:-9.397942,9.312702,-44.36296;rot:0,0.2594876,0;m:cuboid;scl:3,0.1,1.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_23;pos:0.5877734,9.415953,-21.68677;rot:0,180.4874,0;m:cuboid;scl:1,0.1,6;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_24;pos:-19.38003,9.365291,-22.14074;rot:0,179.8851,0;m:cuboid;scl:1,0.1,6;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:spawnhuman_25;pos:-9.95603,43.82343,-29.9948;rot:0,0.2184667,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_26;pos:-9.92781,44.2234,-33.09576;rot:0,0.2184667,0;m:spawnhuman;l:23;c:spawner, f:2, t:1;;
i:cuboid_27;pos:-10.16524,15.64464,-20.64975;rot:39.99997,0.4022802,0.1006926;m:cuboid;scl:1,4,0.1;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_28;pos:-12.08147,4.822736,12.37836;rot:358.5634,119.4484,359.9016;m:cuboid;scl:1,1,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_29;pos:-7.206055,4.773551,12.44018;rot:0,234.6352,0;m:cuboid;scl:1,1,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_30;pos:2.741626,4.872153,12.67895;rot:0,235.8699,0;m:cuboid;scl:1,1,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_31;pos:-22.13547,5.241131,12.28802;rot:0,116.0084,0;m:cuboid;scl:1,1,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_32;pos:-9.705598,9.386245,13.26244;rot:0,180.0347,0;m:cuboid;scl:3,0.1,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_33;pos:-10.21076,-9.339627,27.58558;rot:0,178.473,0;m:cuboid;scl:2,2,2;t:bark3;clr:255,144,255,255;;
i:house7_34;pos:-10.82107,6.154144,26.56805;rot:0,269.4981,0;m:house7;scl:0.4,0.4,0.4;t:bark3;clr:255,144,255,255;;
i:cuboid_35;pos:-10.59562,10.39556,132.9199;rot:0,179.9365,0;m:cuboid;scl:2,0.1,20;t:bark3;clr:255,144,255,255;;
