map,disablebounds;
custom,cuboid,stone3,800,1,800,0,1,1,1,96.0,96.0,0,-4,0,0,0,0,0;
custom,cuboid,grass,160,1,400,1,0,0.4,0,16,16,-200,-3.4,-3050,0,0,0,0;
custom,house9,brick1,1,1,2,0,1,1,1,2,2,0,40,-525,0,0,0,0;
custom,cylinder,stone3,14,0.1,14,0,1,1,1,1.0,1.0,0,1,-500,0,0,0,0;
custom,cylinder,stone6,13,0.1,13,0,1,1,1,1.0,1.0,0,3,-500,0,0,0,0;
custom,cylinder,stone3,12,0.1,12,0,1,1,1,1.0,1.0,0,5,-500,0,0,0,0;
custom,cylinder,stone6,11,0.1,11,0,1,1,1,1.0,1.0,0,7,-500,0,0,0,0;
custom,cylinder,stone3,10,0.1,10,0,1,1,1,1.0,1.0,0,9,-500,0,0,0,0;
custom,cylinder,stone6,9,0.1,9,0,1,1,1,1.0,1.0,0,11,-500,0,0,0,0;
custom,cylinder,stone3,8,0.1,8,0,1,1,1,1.0,1.0,0,13,-500,0,0,0,0;
custom,cylinder,stone6,7,0.1,7,0,1,1,1,1.0,1.0,0,15,-500,0,0,0,0;
custom,cylinder,stone3,6,0.1,6,0,1,1,1,1.0,1.0,0,17,-500,0,0,0,0;
custom,cylinder,stone6,5,0.1,5,0,1,1,1,1.0,1.0,0,19,-500,0,0,0,0;
custom,cuboid,wood1,3.9,0.2,7.9,0,1,1,1,1,1,0,19.5,-524,0,0,0,-0;
custom,cuboid,stone6,6,2,4,0,1,1,1,1.0,1.0,0,10,-535,0,1,0,1;
custom,cuboid,brick1,6,6,4,0,1,1,1,1.0,1.0,0,30,-595,0,1,0,-1;
custom,cuboid,brick2,2,10,40,0,1,1,1,4.0,1.0,0,50,-620,0,1,0,1;
custom,cuboid,brick2,2,10,50,0,1,1,1,4.0,1.0,210,50,-380,0,0,0,0;
custom,cuboid,brick2,2,10,50,0,1,1,1,4.0,1.0,-210,50,-380,0,0,0,0;
custom,cuboid,brick2,2,10,18,0,1,1,1,1.0,1.0,130,50,-120,0,1,0,1;
custom,cuboid,brick2,2,10,18,0,1,1,1,1.0,1.0,-130,50,-120,0,1,0,1;
custom,tower5,default,2,1.5,2,0,1,1,1,1.0,1.0,-51.5,-0.1,-120,0,0,0,0;
custom,tower5,default,2,1.5,2,0,1,1,1,1.0,1.0,51.5,-0.1,-120,0,0,0,0;
custom,tower4,default,0.75,0.75,0.75,0,1,1,1,1.0,1.0,-1,38,-120,0,1,0,0;
custom,prism,brick1,2,52,1.5,0,1,1,1,1.0,8,210.25,106,-380,0,1,-1,0;
custom,prism,brick1,2,52,1.5,0,1,1,1,1.0,8,-209.75,106,-380,0,-1,1,0;
custom,prism,brick1,2,44,1.5,0,1,1,1,1.0,8,10,106,-620,0.5,0.5,-0.5,0.5;
custom,prism,brick1,2,15,1.5,0,1,1,1,1.0,8,138,106,-120,0.5,0.5,-0.5,0.5;
custom,prism,brick1,2,15,1.5,0,1,1,1,1.0,8,-132,106,-120,0.5,0.5,-0.5,0.5;
custom,cylinder,bark,0.05,0.2,0.05,0,1,1,1,1,1,13,22.5,-547.5,0,0,0,0;
custom,cylinder,bark,0.05,0.2,0.05,0,1,1,1,1,1,3,22.5,-547.5,0,0,0,0;
custom,cylinder,bark,0.05,0.2,0.05,0,1,1,1,1,1,13,22.5,-542.5,0,0,0,0;
custom,cylinder,bark,0.05,0.2,0.05,0,1,1,1,1,1,3,22.5,-542.5,0,0,0,0;
custom,cuboid,wood4,0.6,0.05,1.25,0,1,1,1,1,1,8,24.5,-545,0,1,0,1;
custom,cylinder,bark,0.05,0.2,0.05,0,1,1,1,1,1,7,22.5,-535,0,0,0,0;
custom,cylinder,bark,0.05,0.2,0.05,0,1,1,1,1,1,10,22.5,-535,0,0,0,0;
custom,cylinder,bark,0.05,0.1,0.05,0,1,1,1,1,1,7,21.5,-537,0,0,0,0;
custom,cylinder,bark,0.05,0.1,0.05,0,1,1,1,1,1,10,21.5,-537,0,0,0,0;
custom,cuboid,bark,0.25,0.025,0.35,0,1,1,1,1,1,8.5,22.5,-536.1,0,1,0,1;
custom,cuboid,default,0.4,0.02,0.7,1,0,0,0,1,1,8.5,28,-545,0.5,0.5,0.5,0.5;
custom,cuboid,default,0.2,0.02,0.3,1,0,0,0,1,1,8.5,25,-545.5,0,1,0,1;
custom,cylinder,default,0.05,0.1,0.05,1,0.03,0.03,0.03,1,1,8.5,26,-545.25,0,0,0,0;
custom,cuboid,metal3,0.35,0.02,0.65,1,0,0,1,0.01,0.01,8.5,28,-544.9,0.5,0.5,0.5,0.5;
