i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:-404.2726,-21.78892,-246.7231;rot:0,359.1885,0;m:cuboid;scl:600,5,600;t:grass4;til:600,600;;
i:cuboid_3;pos:1131.827,1000.506,635.6779;rot:0,89.06938,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_4;pos:-568.772,1000.605,-2662.688;rot:0,177.6911,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_5;pos:-108.6261,1000.962,2060.75;rot:0,178.467,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_6;pos:-2590.693,1000.243,-662.8665;rot:0,269.5496,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_7;pos:-521.3881,3000.58,-2464.846;rot:0,177.2914,0;m:cuboid;scl:1000,5,1000;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_8;pos:-501.8618,-27.36913,-2513.453;rot:0,179.2483,0;m:cuboid;scl:1000,5,1000;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:spawntitan_9;pos:-119.6767,4.394102,-146.7209;rot:0,179.7493,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_10;pos:122.121,6.340169,-486.4828;rot:0,170.499,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_11;pos:-245.3835,6.223709,-837.5488;rot:0,200.7489,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_12;pos:-291.5408,5.367226,-1350.694;rot:0,197.4989,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_13;pos:-727.5988,4.528649,-1414.535;rot:0,246.2481,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_14;pos:-1097.347,12.8982,-1855.955;rot:0,236.9976,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_15;pos:-1329.777,8.801264,-1380.985;rot:0,303.9958,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_16;pos:-1683.192,141.214,-1109.746;rot:0,343.744,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_17;pos:-1448.999,13.70236,-622.3224;rot:0,6.243357,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_18;pos:-1705.352,9.024416,-53.68551;rot:0,359.7424,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_19;pos:-1119.149,6.91658,299.7501;rot:0,17.49227,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_20;pos:-1160.721,13.74289,877.2776;rot:0,17.49225,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_21;pos:-720.6461,5.323304,740.2811;rot:0,36.99212,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_22;pos:-530.038,4.142523,870.5223;rot:0,29.74208,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_23;pos:-562.2639,7.925853,1270.408;rot:0,33.74209,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_24;pos:-179.4771,6.824833,1055.588;rot:0,94.2419,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_25;pos:55.6458,9.576801,1305.886;rot:0,92.2417,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_26;pos:-93.85144,15.24634,906.3185;rot:0,121.9911,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_27;pos:-45.78211,11.32205,395.7147;rot:0,163.4906,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_28;pos:154.3756,20.73162,-63.01961;rot:0,188.7401,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:tree2_29;pos:116.7815,70.93114,72.40533;rot:0,24.32231,0;m:tree2;;
i:tree2_30;pos:67.35666,71.01998,-33.9349;rot:0,14.49226,0;m:tree2;;
i:tree2_31;pos:65.93987,71.13191,-137.1336;rot:0,0.3203112,0;m:tree2;;
i:tree2_32;pos:67.69305,68.23386,-248.3745;rot:0,358.3196,0;m:tree2;;
i:tree2_33;pos:68.58897,71.30873,-372.2342;rot:0,2.061995,0;m:tree2;;
i:tree2_34;pos:71.93436,70.17357,-514.4125;rot:0,11.10655,0;m:tree2;;
i:tree2_35;pos:37.47322,71.09507,-641.6227;rot:0,17.75552,0;m:tree2;;
i:tree2_36;pos:0.3923162,70.56606,-767.4353;rot:0,16.05519,0;m:tree2;;
i:tree2_37;pos:-35.31137,70.82777,-873.0665;rot:0,16.0552,0;m:tree2;;
i:tree2_38;pos:-60.16655,70.43999,-986.9164;rot:0,19.05522,0;m:tree2;;
i:tree2_39;pos:-120.2885,69.86833,-1104.541;rot:0,30.0545,0;m:tree2;;
i:tree2_40;pos:-170.8014,70.24549,-1207.262;rot:0,27.55242,0;m:tree2;;
i:tree2_41;pos:-232.5106,70.15539,-1320.08;rot:0,29.40205,0;m:tree2;;
i:tree2_42;pos:-310.9186,69.2306,-1459.863;rot:0,40.46081,0;m:tree2;;
i:tree2_43;pos:-410.417,70.35308,-1540.633;rot:0,60.05085,0;m:tree2;;
i:tree2_44;pos:-506.8096,70.47018,-1596.615;rot:0,58.04955,0;m:tree2;;
i:tree2_45;pos:-597.7214,70.95901,-1649.112;rot:0,61.29848,0;m:tree2;;
i:tree2_46;pos:-710.0758,70.90585,-1716.803;rot:0,62.94739,0;m:tree2;;
i:tree2_47;pos:-811.8133,70.99627,-1752.47;rot:0,88.22501,0;m:tree2;;
i:tree2_48;pos:-934.1209,70.94125,-1764.797;rot:0,88.63725,0;m:tree2;;
i:tree2_49;pos:-1075.104,71.11215,-1784.203;rot:0,84.28539,0;m:tree2;;
i:tree2_50;pos:-1214.666,70.48527,-1801.564;rot:0,84.53312,0;m:tree2;;
i:tree2_51;pos:-1337.918,70.39079,-1796.715;rot:0,100.1302,0;m:tree2;;
i:tree2_52;pos:-1456.278,70.82393,-1783.136;rot:0,95.52309,0;m:tree2;;
i:tree2_53;pos:-1564.084,71.13907,-1761.347;rot:0,115.1723,0;m:tree2;;
i:tree2_54;pos:-1615.124,70.76169,-1648.546;rot:0,163.2178,0;m:tree2;;
i:tree2_55;pos:-1636.749,70.71384,-1544.938;rot:0,170.0175,0;m:tree2;;
i:tree2_56;pos:-1661.163,70.22659,-1433.324;rot:0,167.1026,0;m:tree2;;
i:tree2_57;pos:-1683.051,69.45816,-1316.846;rot:0,172.2995,0;m:tree2;;
i:tree2_58;pos:-1704.457,70.23849,-1209.071;rot:0,179.2437,0;m:tree2;;
i:tree2_59;pos:-1707.595,70.19324,-1095.686;rot:0,181.8654,0;m:tree2;;
i:tree2_60;pos:-1718.192,70.60858,-993.0432;rot:0,178.0818,0;m:tree2;;
i:tree2_61;pos:-1729.683,70.65282,-880.109;rot:0,177.9736,0;m:tree2;;
i:tree2_62;pos:-1740.181,70.29762,-763.2603;rot:0,182.2217,0;m:tree2;;
i:tree2_63;pos:-1745.841,70.53603,-642.632;rot:0,180.8213,0;m:tree2;;
i:tree2_64;pos:-1743.418,70.54964,-521.5107;rot:0,192.9209,0;m:tree2;;
i:tree2_65;pos:-1726.706,70.53931,-417.5788;rot:0,192.8647,0;m:tree2;;
i:tree2_66;pos:-1711.182,70.43004,-309.7057;rot:0,203.3147,0;m:tree2;;
i:tree2_67;pos:-1679.435,70.03271,-189.4615;rot:0,211.9603,0;m:tree2;;
i:tree2_68;pos:-1636.732,70.61701,-87.17168;rot:0,205.8987,0;m:tree2;;
i:tree2_69;pos:-1582.601,69.83178,21.16484;rot:0,204.6433,0;m:tree2;;
i:tree2_70;pos:-1534.045,70.33266,126.2731;rot:0,201.237,0;m:tree2;;
